gene_id	gene_name	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
Gfp_transgene_gene	Gfp_transgene_gene	0	0	0	0	0
HRA1	HRA1	0	0	0	0	0
snR18	snR18	399.914132252254	3332.21157060586	1729.28567237597	1109.82620104846	1068.96368648942
tA(UGC)A	TGA1	0	0	0	0	0
tL(CAA)A	SUP56	0	0	0	0	0
tP(UGG)A	TRN1	0	0	0	226.772146009373	0
tS(AGA)A	tS(AGA)A	181.963587742987	0	0	0	0
YAL001C	TFC3	28.9237895103291	32.409975152764	54.4856781258525	32.5426779534085	15.5983366119366
YAL002W	VPS8	17.1610301965048	13.622723694998	35.1340351113066	30.973836358915	11.7829743455318
YAL003W	EFB1	2435.10344464881	3222.08626747616	6989.93720157439	4426.94207549455	2676.14652091122
YAL004W	YAL004W	3.63619054424436	0	3.84863883884845	0	3.58871621472359
YAL005C	SSA1	6113.35705896183	5577.96039997105	12183.8185385174	8391.71024419275	4188.22431747656
YAL007C	ERP2	167.264764268221	207.649557474645	508.020321412166	228.571378517155	157.903512773612
YAL008W	FUN14	56.956532730381	72.301199281883	105.94293305298	41.9172676951499	12.038153641533
YAL009W	SPO7	39.9215257990751	41.76778509442	54.9120880835573	26.4502253589085	14.0802693898301
YAL010C	MDM10	14.5995618825264	14.374627326587	44.7591695252737	41.0593222044471	13.1176581636721
YAL011W	SWC3	10.1972371696808	21.756192691805	33.8718038722384	19.980432675536	17.1356358310371
YAL012W	CYS3	423.642053613191	364.608195331314	878.09884667664	680.885686911021	389.819834549262
YAL013W	DEP1	13.2896195847617	27.442470432179	55.3838209714058	35.971427628804	16.4159871505024
YAL014C	SYN8	46.5383019500555	56.980504740742	127.153676795411	83.9362269231239	48.8302823400348
YAL015C	NTG1	20.2824041267377	18.641622022694	45.1465589191006	13.9425303112939	10.021396769177
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016W	TPD3	148.315808534168	142.416894521297	301.178038016892	200.492290346745	103.022304468837
YAL017W	PSK1	44.6643501338773	44.030525354002	84.1845668158014	46.5262949837445	26.4967230368805
YAL018C	LDS1	0	0	0	0	0
YAL019W	FUN30	54.5464924578295	52.070328110449	115.879993828786	103.601671833164	44.8524863697639
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL020C	ATS1	25.1024714407459	15.699947672992	36.664426257094	25.8819356415739	4.13357873430313
YAL021C	CCR4	78.033749021447	66.489000382959	137.344047175248	104.237425770032	58.0420392744941
YAL022C	FUN26	52.8462572488012	40.74280872563	101.020865881647	70.0660737215441	33.5777238431936
YAL023C	PMT2	249.31667319754	234.818624148482	497.25550772177	367.801014613016	199.131806579898
YAL024C	LTE1	20.6324117286144	18.911124527328	37.3691635051039	29.965476945612	19.1512269666392
YAL025C	MAK16	44.023836199816	63.782499638517	127.836754162502	119.425577967275	48.0699290252291
YAL026C	DRS2	54.5324319074015	64.16500281092	126.371754513621	83.1721137576352	54.6419669997306
YAL026C-A	YAL026C-A	77.2544100666317	86.349711020837	154.893044803239	96.5887975771026	33.9235654853609
YAL027W	SAW1	28.2381711569228	27.533490172562	57.1551584909385	14.5518327821666	5.57743221502458
YAL028W	FRT2	11.0606896470009	8.830486587439	21.7676938014067	5.06933721227307	4.85878753191786
YAL029C	MYO4	73.044500949761	62.701806642948	131.99740932339	102.000814210614	56.3987211258244
YAL030W	SNC1	128.459731726539	184.471539947288	589.128703686987	141.196235837307	71.7379056399687
YAL031C	GIP4	31.3264567264287	29.03679424778	54.2482013534573	30.6065988991086	12.2243448222192
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL032C	PRP45	25.1247262192379	23.21475403456	63.679837347311	33.3081576912333	23.0534133978771
YAL033W	POP5	64.0539931820749	65.108605788644	135.155138533007	91.3179234543013	33.972351355011
YAL034C	FUN19	25.984828084741	23.803146372148	67.9408900541662	18.4209249758884	9.62947825997063
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	MTW1	19.8845493954001	4.760629290714	61.7644454963527	12.8105723785088	14.7320931072707
YAL035W	FUN12	250.984178435936	257.28794015034	484.122212480852	480.993179853733	236.611122861224
YAL036C	RBG1	90.7395502977323	101.246406481495	261.823794010517	156.572136567229	87.8312932542608
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037C-B	YAL037C-B	2.16184602340184	0	6.33831002745498	0	0
YAL037W	YAL037W	10.975322008445	13.319450113112	27.6490657955051	11.3122087250273	2.70980980935271
YAL038W	CDC19	7459.21296774222	7507.35657783857	16450.8146109851	13892.7117156913	8184.47585139885
YAL039C	CYC3	24.4633965896085	44.80092191663	106.676020767328	33.6192988777116	13.4224332245774
YAL040C	CLN3	37.6439471192514	43.492955855305	94.3883177122228	57.0883893350971	39.3976727157134
YAL041W	CDC24	44.3690056312876	41.437010539947	92.6333276784521	66.7625274381188	35.953844035061
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	ERV46	227.71814048828	215.897876762084	446.634920110796	279.774047723002	162.791632694945
YAL043C	PTA1	50.1566610817968	46.906199966857	98.0964717585997	63.2216778966332	34.6300305754336
YAL044C	GCV3	166.819755831853	319.849120333006	716.373623923759	244.618672254143	124.451727642415
YAL044W-A	YAL044W-A	51.1212426916529	53.317753332206	258.251464409341	73.2852985102273	29.9152054271439
YAL045C	YAL045C	0	0	25.7038839514449	0	0
YAL046C	AIM1	18.0765896406109	41.377059032815	100.207580202857	74.2292555925262	53.033083258446
YAL047C	SPC72	20.5024345136665	20.965587758731	37.8445520483525	20.0861804557221	14.1863676158682
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL048C	GEM1	17.2356740133878	17.821562070455	40.5180443930124	25.6745603027597	9.46534842823047
YAL049C	AIM2	79.1931544016208	111.210626635119	202.778586438344	106.725082960607	36.0887396147261
YAL051W	OAF1	22.2607173744337	30.596995161667	62.985221276057	49.5420528990916	22.5877554652766
YAL053W	FLC2	92.6057584717454	90.56972587432	190.923244044609	109.501152006704	53.6661725202237
YAL054C	ACS1	2.64986894136935	3.900092670991	5.667181664819	4.55463073061856	0.873169116680873
YAL055W	PEX22	27.9156954694891	5.036843207253	26.1392191059376	4.79157780600479	9.17098506487317
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	GPB2	42.970238352317	30.21895456624	85.1332410417326	52.3076512035283	26.4637530483675
YAL058W	CNE1	29.9113495436961	31.649298626363	59.6156902622531	52.3020087241783	34.7045398900057
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	ECM1	62.997619144037	87.257806108627	165.382637937946	126.017356170384	73.1384481909021
YAL060W	BDH1	87.1290979916609	87.004604084838	194.238532247311	78.8391181992068	50.955012535849
YAL061W	BDH2	48.1827792154488	22.048731190101	125.103761323743	14.9050510201709	7.93589143139194
YAL062W	GDH3	7.23085915110677	28.885668705575	50.4226468744027	19.3863841731854	5.71697122660872
YAL063C	FLO9	2.13175977895487	3.869043897598	5.45354279156564	2.14524507410615	0.502933003951503
